product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
a41e356c76fab66334f36de622ecbd3a,,,,,650.0,17.0,14.0,12.0
d8dee61c2034d6d075997acef1870e9b,,,,,300.0,16.0,7.0,20.0
56139431d72cd51f19eb9f7dae4d1617,,,,,200.0,20.0,20.0,20.0
46b48281eb6d663ced748f324108c733,,,,,18500.0,41.0,30.0,41.0
5fb61f482620cb672f5e586bb132eae9,,,,,300.0,35.0,7.0,12.0
e10758160da97891c2fdcbc35f0f031d,,,,,2200.0,16.0,2.0,11.0
39e3b9b12cd0bf8ee681bbc1c130feb5,,,,,300.0,16.0,7.0,11.0
794de06c32a626a5692ff50e4985d36f,,,,,300.0,18.0,8.0,14.0
7af3e2da474486a3519b0cba9dea8ad9,,,,,200.0,22.0,14.0,14.0
629beb8e7317703dcc5f35b5463fd20e,,,,,1400.0,25.0,25.0,25.0
3a78f64aac654298e4b9aff32fc21818,,,,,4300.0,30.0,10.0,48.0
bcb815bba008d89458e428078c0b9211,,,,,150.0,16.0,2.0,11.0
6b82874c6b51b92913dcdb364eaaae0f,,,,,21450.0,70.0,34.0,50.0
c68b419d9c6038271b85bac98adb0fc9,,,,,1000.0,16.0,14.0,30.0
1dcd65bb5dd967d7b4c6b0223cefb838,,,,,9150.0,33.0,30.0,44.0
671446e8e3aa3df1eca47b6c354a2921,,,,,5500.0,33.0,22.0,33.0
f0ea71b6e2ab4cb3bd8f5ba522a25a56,,,,,1300.0,30.0,20.0,30.0
fedccbd5e370e8ddb7aae6fb4cb70347,,,,,1200.0,20.0,20.0,20.0
212cc0fa7359ab242a697a03a574f719,,,,,200.0,16.0,2.0,11.0
6b7879a37ac2dbe5289a16706e859870,,,,,950.0,45.0,12.0,30.0
44e8945e17aef03daaecbc4bbab7f730,,,,,200.0,16.0,2.0,11.0
3abf2d4698bf245577543ea01d9c7f16,,,,,200.0,22.0,14.0,14.0
ca26080d8f0fa848c329fe732f5e34e8,,,,,1800.0,25.0,25.0,25.0
1a2ece70966710dec441aa587993b5b4,,,,,300.0,27.0,5.0,18.0
5f4bceafafc1903556735cb7f2842e78,,,,,200.0,16.0,2.0,11.0
b61d1388a17e3f547d2bc218df02335b,,,,,350.0,16.0,6.0,11.0
b9adb2d8377c195da59e75743dbb7133,,,,,200.0,16.0,2.0,11.0
ceeba7d5636e59173cc5f484e913db3d,,,,,30000.0,65.0,65.0,65.0
7ce49c8945602088c4c4ca3e0ceb8244,,,,,1400.0,35.0,3.0,35.0
0533c5ec3a042521493cfb6e12d6befd,,,,,1550.0,38.0,4.0,23.0
9f69acd4da62618a3f6365b732d00ccd,,,,,850.0,27.0,13.0,21.0
19f3b74026e6ec6c83fc25e21baf454e,,,,,1300.0,52.0,10.0,38.0
0fa699aaa0a38aa5d1de8e7fe04d2204,,,,,17900.0,48.0,32.0,28.0
94c07760f470ab9997f27d0129682eb3,,,,,450.0,16.0,20.0,11.0
3f6f946481fd39f4eda986012f6e0447,,,,,1600.0,38.0,28.0,40.0
a9d8f831888820cd641dcd5ca9fea4e8,,,,,50.0,16.0,2.0,11.0
48270bcc7097939dcf14a537d7128054,,,,,1000.0,30.0,30.0,30.0
b5778c55de68777a0a3565e03b2e2817,,,,,2500.0,26.0,25.0,47.0
51fe26bc4bb0f89f07096d8c96b35476,,,,,200.0,16.0,2.0,11.0
9ce62e73b4ea1a6c74b68ba57aa1333b,,,,,1000.0,31.0,21.0,24.0
